VIN;Número de Lote;Origem;Modelo;Nome Cliente;Destino;Cidade;Estado
93YCARRO001000022;AA201356;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000023;AA201357;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000024;AA201357;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000025;AA201357;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000026;AA201357;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000027;AA201357;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000028;AA201357;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000029;AA201357;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000030;AA201357;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000031;AA201357;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000032;AA201357;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000033;AA201357;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000034;AA201359;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000035;AA201359;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000036;AA201359;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000037;AA201359;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000038;AA201359;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000039;AA201359;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000040;AA201359;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000041;AA201359;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000042;AA201359;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000043;AA201359;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000044;AA201359;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000045;AA201364;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000046;AA201364;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000047;AA201364;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000048;AA201364;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000049;AA201364;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000050;AA201364;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000051;AA201364;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000052;AA201364;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000053;AA201364;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000054;AA201364;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000055;AA201364;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000056;AA201365;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kardian;Minas France - Pampulha;31275083, MG, Belo Horizonte , São Luiz, Av. Pres.. Antônio Carlos, 7951;Belo Horizonte;MG
93YCARRO001000057;AA201365;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Master;Minas France - Pampulha;31275083, MG, Belo Horizonte , São Luiz, Av. Pres.. Antônio Carlos, 7951;Belo Horizonte;MG
93YCARRO001000058;AA201365;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;BR France Veiculos Ltda;31750083, MG, BELO HORIZONTE, AV. PRES.. ANTÔNIO CARLOS, 7951;Belo Horizonte;MG
93YCARRO001000059;AA201365;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;BR France Veiculos Ltda;31750083, MG, BELO HORIZONTE, AV. PRES.. ANTÔNIO CARLOS, 7951;Belo Horizonte;MG
93YCARRO001000060;AA201365;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;BR France Veiculos Ltda;31750083, MG, BELO HORIZONTE, AV. PRES.. ANTÔNIO CARLOS, 7951;Belo Horizonte;MG
93YCARRO001000061;AA201365;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;BR France Veiculos Ltda;31750083, MG, BELO HORIZONTE, AV. PRES.. ANTÔNIO CARLOS, 7951;Belo Horizonte;MG
93YCARRO001000062;AA201365;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kardian;BR France Veiculos Ltda;31750083, MG, BELO HORIZONTE, AV. PRES.. ANTÔNIO CARLOS, 7951;Belo Horizonte;MG
93YCARRO001000063;AA201365;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kangoo;BR France Veiculos Ltda;31750083, MG, BELO HORIZONTE, AV. PRES.. ANTÔNIO CARLOS, 7951;Belo Horizonte;MG
93YCARRO001000064;AA201365;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000065;AA201365;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000066;AA201365;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_BeloHorizonte;1, MG, Belo Horizonte;Belo Horizonte;PR
93YCARRO001000067;AA201366;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;OROCH;Minas France - Pampulha;31275083, MG, Belo Horizonte , São Luiz, Av. Pres.. Antônio Carlos, 7951;Belo Horizonte;MG
93YCARRO001000068;AA201366;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kardian;BR France Veiculos Ltda;31750083, MG, BELO HORIZONTE, AV. PRES.. ANTÔNIO CARLOS, 7951;Belo Horizonte;MG
93YCARRO001000069;AA201366;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;BR France Veiculos Ltda;31750083, MG, BELO HORIZONTE, AV. PRES.. ANTÔNIO CARLOS, 7951;Belo Horizonte;MG
93YCARRO001000070;AA201366;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;BR France Veiculos Ltda;31750083, MG, BELO HORIZONTE, AV. PRES.. ANTÔNIO CARLOS, 7951;Belo Horizonte;MG
93YCARRO001000071;AA201366;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;BR France Veiculos Ltda;31750083, MG, BELO HORIZONTE, AV. PRES.. ANTÔNIO CARLOS, 7951;Belo Horizonte;MG
93YCARRO001000072;AA201366;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;BR France Veiculos Ltda;31750083, MG, BELO HORIZONTE, AV. PRES.. ANTÔNIO CARLOS, 7951;Belo Horizonte;MG
93YCARRO001000073;AA201366;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;BR France Veiculos Ltda;31750083, MG, BELO HORIZONTE, AV. PRES.. ANTÔNIO CARLOS, 7951;Belo Horizonte;MG
93YCARRO001000074;AA201366;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;BR France Veiculos Ltda;31750083, MG, BELO HORIZONTE, AV. PRES.. ANTÔNIO CARLOS, 7951;Belo Horizonte;MG
93YCARRO001000075;AA201366;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;BR France Veiculos Ltda;31750083, MG, BELO HORIZONTE, AV. PRES.. ANTÔNIO CARLOS, 7951;Belo Horizonte;MG
93YCARRO001000076;AA201366;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;BR France Veiculos Ltda;31750083, MG, BELO HORIZONTE, AV. PRES.. ANTÔNIO CARLOS, 7951;Belo Horizonte;MG
93YCARRO001000077;AA201366;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Master;BR FRANCE VEICULOS LTDA;30494270, MG, BELO HORIZONTE, ESTORIL, Av Barão Homem de Melo, 3560 Bloco B;BELO HORIZONTE;MG
93YCARRO001000078;AA201367;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kardian;VILLE RIO PRETO COM DE VEICULO E PECAS;15025000, SP, São José do Rio Preto, Boa Vista, Av. Baddy Bassit, 5350;Sao Jose do Rio Preto;SP
93YCARRO001000079;AA201367;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kardian;VILLE RIO PRETO COM DE VEICULO E PECAS;15025000, SP, São José do Rio Preto, Boa Vista, Av. Baddy Bassit, 5350;Sao Jose do Rio Preto;SP
93YCARRO001000080;AA201367;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;VILLE RIO PRETO COM DE VEICULO E PECAS;15025000, SP, São José do Rio Preto, Boa Vista, Av. Baddy Bassit, 5350;Sao Jose do Rio Preto;SP
93YCARRO001000081;AA201367;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;VILLE RIO PRETO COM DE VEICULO E PECAS;15025000, SP, São José do Rio Preto, Boa Vista, Av. Baddy Bassit, 5350;Sao Jose do Rio Preto;SP
93YCARRO001000082;AA201367;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kardian;VILLE RIO PRETO COM DE VEICULO E PECAS;15025000, SP, São José do Rio Preto, Boa Vista, Av. Baddy Bassit, 5350;Sao Jose do Rio Preto;SP
93YCARRO001000083;AA201367;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kangoo;VILLE RIO PRETO COM DE VEICULO E PECAS;15025000, SP, São José do Rio Preto, Boa Vista, Av. Baddy Bassit, 5350;Sao Jose do Rio Preto;SP
93YCARRO001000084;AA201367;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Master;VILLE RIO PRETO COM DE VEICULO E PECAS;15025000, SP, São José do Rio Preto, Boa Vista, Av. Baddy Bassit, 5350;Sao Jose do Rio Preto;SP
93YCARRO001000085;AA201367;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kardian;VILLE RIO PRETO COM DE VEICULO E PECAS;15025000, SP, São José do Rio Preto, Boa Vista, Av. Baddy Bassit, 5350;Sao Jose do Rio Preto;SP
93YCARRO001000086;AA201367;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Master;VILLE RIO PRETO COM DE VEICULO E PECAS;15025000, SP, São José do Rio Preto, Boa Vista, Av. Baddy Bassit, 5350;Sao Jose do Rio Preto;SP
93YCARRO001000087;AA201368;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_Uberlandia;1, MG, Uberlandia;Uberlandia;PR
93YCARRO001000088;AA201368;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_Uberlandia;1, MG, Uberlandia;Uberlandia;PR
93YCARRO001000089;AA201368;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kardian;URCA FRANCE AUTOMOVEIS LTDA;38408100, MG, UBERLANDIA, AV JOAO NAVES DE AVILA 3330;Uberlandia;MG
93YCARRO001000090;AA201368;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kardian;URCA FRANCE AUTOMOVEIS LTDA;38408100, MG, UBERLANDIA, AV JOAO NAVES DE AVILA 3330;Uberlandia;MG
93YCARRO001000091;AA201368;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Master;URCA FRANCE AUTOMOVEIS LTDA;38408100, MG, UBERLANDIA, AV JOAO NAVES DE AVILA 3330;Uberlandia;MG
93YCARRO001000092;AA201368;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Master;URCA FRANCE AUTOMOVEIS LTDA;38408100, MG, UBERLANDIA, AV JOAO NAVES DE AVILA 3330;Uberlandia;MG
93YCARRO001000093;AA201368;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;OROCH;EURO RP VEICULOS LTDA;SP, Ribeirao Preto, AV MARIA DE JESUS CONDEIXA 1315;Ribeirao Preto;SP
93YCARRO001000094;AA201368;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;EURO RP VEICULOS LTDA;SP, Ribeirao Preto, AV MARIA DE JESUS CONDEIXA 1315;Ribeirao Preto;SP
93YCARRO001000095;AA201368;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kardian;EURO RP VEICULOS LTDA;SP, Ribeirao Preto, AV MARIA DE JESUS CONDEIXA 1315;Ribeirao Preto;SP
93YCARRO001000096;AA201368;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_Patrocinio;1, MG, Patrocinio;Patrocinio;PR
93YCARRO001000097;AA201369;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kardian;Auto France Araruama;28970000, RJ, Araruama, Paraty, Rod Amaral Peixoto Km 90 Lt 1 Qd 25;Araruama;RJ
93YCARRO001000098;AA201369;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kangoo;Auto France Cabo Frio;28940000, RJ, São Pedro da Aldeia, Balneario São Pedro da Aldeia, Rod Amaral Peixoto Km 106 Mod 1;Sao Pedro da Aldeia;RJ
93YCARRO001000099;AA201369;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Auto France Cabo Frio;28940000, RJ, São Pedro da Aldeia, Balneario São Pedro da Aldeia, Rod Amaral Peixoto Km 106 Mod 1;Sao Pedro da Aldeia;RJ
93YCARRO001000100;AA201369;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kardian;Auto France Cabo Frio;28940000, RJ, São Pedro da Aldeia, Balneario São Pedro da Aldeia, Rod Amaral Peixoto Km 106 Mod 1;Sao Pedro da Aldeia;RJ
93YCARRO001000101;AA201369;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Sandero;Auto France Cabo Frio;28940000, RJ, São Pedro da Aldeia, Balneario São Pedro da Aldeia, Rod Amaral Peixoto Km 106 Mod 1;Sao Pedro da Aldeia;RJ
93YCARRO001000102;AA201369;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_Macae;1, RJ, Macae;Macae;PR
93YCARRO001000103;AA201369;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_Macae;1, RJ, Macae;Macae;PR
93YCARRO001000104;AA201369;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kardian;Auto france Macae;RJ, Macaé, Botafogo, Av. Lacerda Agostinho,  s/n, Área de Virgem Santa;Macae;RJ
93YCARRO001000105;AA201369;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kwid;Locadora_Marica;1, RJ, Marica;Marica;PR
93YCARRO001000106;AA201369;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;OROCH;Auto France Campos;28051250, RJ, Campos dos Goytacazes, Parque Leopoldina, Rua Doutor Silvio Bastos Tavares, 9;Campos dos Goytacazes;RJ
93YCARRO001000107;AA201369;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Master;G2 AUTO FRANCE LTDA;28020801, RJ, CAMPOS DOS GOYTACAZES, Parque Turf Club, Av. Senador Tarcisio Miranda, 561-569;Campos dos Goytacazes;RJ
93YCARRO001000108;AA201370;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Nova Duster;Mercantil Andreta Americana;13478540, SP, Americana, Tripoli, Av. Nossa Senhora de Fatima, 2499;Americana;SP
93YCARRO001000109;AA201370;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;OROCH;Mercantil Andreta Americana;13478540, SP, Americana, Tripoli, Av. Nossa Senhora de Fatima, 2499;Americana;SP
93YCARRO001000110;AA201370;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;OROCH;Mercantil Andreta Americana;13478540, SP, Americana, Tripoli, Av. Nossa Senhora de Fatima, 2499;Americana;SP
93YCARRO001000111;AA201370;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;Kardian;Locadora_RioClaro;1, SP, Rio Claro;Rio Claro;SP
93YCARRO001000112;AA201370;830709, PR, São José dos Pinhais, Bairro Borda do Campo, Av. Renault, 1300, Borda do Campo;OROCH;SANTA EMILIA LLE FRANCE COMERCIAL DE VEICULOS E PECAS LTDA;13503183, SP, Rio Claro, Cidade Claret, Av Presidente Tancredo de Almeida Neves, 800;Rio Claro;SP
